user_id,categories
8,1079 429 426 1064 1409   
12,1898 789 0 1785 1786     
27,200 0 1784 1785 1786     
39,2138 160 1786 1787 1788  
40,2273 1783 1784 1785 1786 
45,431 1407 0 1784 1785     
57,2096 1783 1784 1785 1786 
67,163 1404 0 1784 1785     
68,1821 1826 1783 1784 1785 
70,135 237 2173 163 873     
75,1948 1105 672 1782 1783  
77,1215 2115 486 431 1786   
86,672 1351 2193 1246 2104  
96,547 103 0 1785 1786      
100,2081 2178 124 804 1321   
109,672 1088 1351 898 873    
113,688 1141 1201 20 1180    
131,1067 1445 435 1826 672   
133,197 0 1784 1785 1786     
138,1335 0 1784 1785 1786    
140,672 1870 13 830 1353     
146,2377 134 421 831 2129    
148,818 2100 0 1784 1785     
151,1039 0 1784 1785 1786    
153,129 0 1784 1785 1786     
156,672 0 1785 1786 1787     
163,56 127 0 1785 1786       
172,1488 66 1784 1785 1786   
198,819 66 2286 822 0        
202,672 0 1785 1786 1787     
205,1078 1821 1473 1784 1785 
210,1823 110 1783 1784 1785  
225,53 2124 0 1785 1786      
233,1505 0 1784 1785 1786    
243,911 0 1784 1785 1786     
255,784 0 1785 1786 1787     
256,1284 1103 0 1784 1785    
257,495 672 1409 663 1070    
263,1329 0 1784 1785 1786    
265,493 0 1785 1786 1787     
267,1283 937 789 672 1785    
268,2040 911 82 1797 1784    
269,1509 1784 1785 1786 1787 
271,2060 789 1434 0 1785     
272,127 0 1784 1785 1786     
275,1361 130 2107 1636 866   
277,672 0 1785 1786 1787     
288,103 1783 1784 1785 1786  
289,672 784 1784 1785 1786   
290,1892 2516 0 1784 1785    
300,504 1956 0 1785 1786     
301,196 0 1784 1785 1786     
308,695 0 1785 1786 1787     
309,120 452 1039 678 766     
313,473 424 103 1188 101     
320,163 0 1784 1785 1786     
325,2344 0 1783 1784 1785    
328,1952 0 1784 1785 1786    
334,107 937 103 0 1783       
336,66 0 1784 1785 1786      
345,553 1899 672 968 1201    
346,127 0 1784 1785 1786     
348,1006 1783 1784 1785 1786 
352,677 0 1785 1786 1787     
354,193 2187 78 1519 1774    
355,770 450 1646 672 1786    
356,918 2431 2242 785 1782   
372,672 0 1785 1786 1787     
374,426 433 0 1784 1785      
383,302 672 901 1766 1786    
391,1640 1144 253 1302 199   
392,66 0 1784 1785 1786      
393,2015 0 1784 1785 1786    
395,1183 1050 1783 1784 1785 
404,948 160 1765 1465 1240   
414,120 0 1784 1785 1786     
420,950 0 1784 1785 1786     
428,1065 1136 1121 0 1784    
435,253 1064 444 0 1784      
445,2009 0 1784 1785 1786    
452,1948 1952 1782 1783 1784 
459,1409 672 0 1785 1786     
470,553 0 1785 1786 1787     
480,2092 1887 103 784 2088   
482,2265 112 440 138 0       
490,1620 0 1784 1785 1786    
495,830 163 159 1786 1787    
501,784 995 1930 1442 864    
508,936 785 0 1785 1786      
522,1253 1266 0 1783 1784    
523,130 1039 901 462 459     
525,171 0 1784 1785 1786     
527,2009 0 1784 1785 1786    
537,1366 0 1784 1785 1786    
538,672 160 1785 1786 1787   
543,2544 1065 0 1784 1785    
546,424 672 663 901 421      
551,162 1668 0 1785 1786     
552,911 757 124 827 756      
569,200 818 0 1784 1785      
576,113 2568 0 1785 1786     
582,838 114 1799 1785 1786   
585,2311 0 1783 1784 1785    
588,90 0 1784 1785 1786      
589,2009 0 1784 1785 1786    
594,49 553 0 1785 1786       
595,2021 452 470 0 1786      
598,192 672 1784 1785 1786   
603,672 0 1785 1786 1787     
612,771 0 1785 1786 1787     
617,672 424 422 674 1786     
618,1560 1749 0 1785 1786    
622,163 750 177 164 749      
640,1956 1435 1137 1455 1945 
641,237 0 1784 1785 1786     
664,851 0 1785 1786 1787     
668,1021 456 0 1785 1786     
671,1666 66 2485 0 1785      
673,135 134 2067 170 1424    
685,2002 0 1784 1785 1786    
688,665 0 1785 1786 1787     
702,981 2003 1892 0 1784     
715,1907 1783 1784 1785 1786 
719,1766 134 480 672 475     
722,424 1063 672 103 1340    
725,789 1605 672 1514 1267   
728,163 0 1784 1785 1786     
730,1488 1080 428 462 421    
759,951 0 1784 1785 1786     
764,1142 2108 769 771 486    
780,672 434 1244 1785 1786   
788,1040 663 1981 672 674    
794,424 498 492 2231 440     
796,1024 0 1783 1784 1785    
810,1376 2559 2551 220 2553  
812,103 1634 672 2473 663    
818,1409 163 421 459 1328    
836,1107 0 1784 1785 1786    
841,826 827 1785 1786 1787   
846,1365 678 0 1784 1785     
865,672 674 428 901 1784     
870,127 0 1784 1785 1786     
871,1167 1470 0 1785 1786    
879,695 0 1785 1786 1787     
883,103 1783 1784 1785 1786  
898,422 0 1784 1785 1786     
901,160 0 1784 1785 1786     
906,66 0 1784 1785 1786      
912,784 789 2419 1944 1784   
916,770 0 1785 1786 1787     
926,938 493 672 1785 1786    
935,120 0 1784 1785 1786     
945,672 424 901 162 2260     
946,163 0 1784 1785 1786     
957,277 0 1784 1785 1786     
965,103 444 433 1093 2020    
968,672 663 827 1786 1787    
974,672 1245 1401 89 435     
990,1138 672 1784 1785 1786  
991,1619 1214 2399 1193 1184 
1003,2403 1136 0 1784 1785    
1004,672 0 1785 1786 1787     
1011,1107 1075 0 1783 1784    
